d (mm),positron yield / pC,positron yield error / pC
0.1,7.947160987514146e-06,3.7309616353641795e-07
0.3,4.220854605851781e-06,5.3566321170758366e-08
0.5,2.8786932311684246e-06,5.411639930305048e-07
1.0,2.7611053670240174e-06,3.2673849516626766e-07
1.5,2.601662733151252e-06,2.6787733081567636e-07
1.8,2.9052072349615543e-06,3.7810055198582503e-07
1.9,2.612884811710741e-06,3.220114612661619e-09
2.0,2.318562101488213e-06,3.172043577237521e-08
2.1,2.052224701899287e-06,1.2489759596797922e-07
2.2,6.66266926468478e-06,3.5540672835941966e-07
2.5,1.6449849592374635e-06,2.394976573142048e-07
3.0,5.856321303795929e-06,2.2308584787793995e-07
