d (mm), positron yield / pC, positron yield error / pC
0.1, 6.477329526211358e-05, 8.051309791482528e-07
0.2, 5.643984477252882e-05, 3.0611336861367626e-06
0.3, 5.035171487585686e-05, 3.263982183940745e-07
0.4, 4.634103539456013e-05, 1.2434652465250634e-08
0.6, 4.459491258480622e-05, 0.0
0.8, 3.298878665568925e-05, 2.070200899204511e-06
1.0, 3.126513414400135e-05, 1.4917461002559077e-07
1.2, 2.7310302139182215e-05, 1.0403608945395982e-06
1.5, 2.327946196704781e-05, 4.818401119417657e-07
2.0, 1.738467377077924e-05, 1.1721844095812485e-06
3.0, 1.3141139423794565e-05, 9.74668357803341e-07
